"survived";"age";"sex";"fare"
"1";29;"female";211.3375
"1";0.9167;"male";151.55
"0";2;"female";151.55
"0";30;"male";151.55
"0";25;"female";151.55
"1";48;"male";26.55
"1";63;"female";77.9583
"0";39;"male";0
"1";53;"female";51.4792
"0";71;"male";49.5042
"0";47;"male";227.525
"1";18;"female";227.525
"1";24;"female";69.3
"1";26;"female";78.85
"1";80;"male";30
"0";24;"male";247.5208
"1";50;"female";247.5208
"1";32;"female";76.2917
"0";36;"male";75.2417
"1";37;"male";52.5542
"1";47;"female";52.5542
"1";26;"male";30
"1";42;"female";227.525
"1";29;"female";221.7792
"0";25;"male";26
"1";25;"male";91.0792
"1";19;"female";91.0792
"1";35;"female";135.6333
"1";28;"male";26.55
"0";45;"male";35.5
"1";40;"male";31
"1";30;"female";164.8667
"1";58;"female";26.55
"0";42;"male";26.55
"1";45;"female";262.375
"1";22;"female";55
"0";41;"male";30.5
"0";48;"male";50.4958
"1";44;"female";27.7208
"1";59;"female";51.4792
"1";60;"female";76.2917
"1";41;"female";134.5
"0";45;"male";26.55
"1";42;"male";26.2875
"1";53;"female";27.4458
"1";36;"male";512.3292
"1";58;"female";512.3292
"0";33;"male";5
"0";28;"male";47.1
"0";17;"male";47.1
"1";11;"male";120
"1";14;"female";120
"1";36;"male";120
"1";36;"female";120
"0";49;"male";26
"0";36;"male";78.85
"1";76;"female";78.85
"0";46;"male";61.175
"1";47;"female";61.175
"1";27;"male";53.1
"1";33;"female";53.1
"1";36;"female";262.375
"1";30;"female";86.5
"1";45;"male";29.7
"0";27;"male";136.7792
"1";26;"female";136.7792
"1";22;"female";151.55
"0";47;"male";25.5875
"1";39;"female";83.1583
"0";37;"male";83.1583
"1";64;"female";83.1583
"1";55;"female";25.7
"0";70;"male";71
"1";36;"female";71
"1";64;"female";26.55
"0";39;"male";71.2833
"1";38;"female";71.2833
"1";51;"male";26.55
"1";27;"male";30.5
"1";33;"female";151.55
"0";31;"male";52
"1";27;"female";52
"1";31;"male";57
"1";17;"female";57
"1";53;"male";81.8583
"1";4;"male";81.8583
"1";54;"female";81.8583
"0";50;"male";106.425
"1";27;"female";247.5208
"1";48;"female";106.425
"1";48;"female";39.6
